species group name	protonym	 Author
756: indosinensis	Acropyga (	Rhizomyrma) indosinensis Wheeler, W.M. 1935c: 72
757: inezae	Acropyga (	Atopodon) inezae Forel, 1912m: 772 
758: javana	Acropyga (	Acropyga) acutiventris var. javana Karavaiev, 1933a: 308 
759: jiangxiensis	Acropyga (	Atopodon) jiangxiensis Wang, C. & Wu, 1992a: 226
760: kathrynae	Acropyga (	Rhizomyrma) kathrynae Weber, 1944: 114
761: keira	Acropyga keira 	LaPolla, 2004a: 53
762: kinomurai	Acropyga (	Rhizomyrma) kinomurai Terayama & Hashimoto, 1996: 7
763: lauta	Acropyga (	Rhizomyrma) lauta Mann, 1919: 365 
764: major	Acropyga (	Rhizomyrma) major Donisthorpe, 1949c: 755 
765: marshalli	Rhizomyrma marshalli 	Crawley, 1921: 93
766: meermohri	Atopodon meermohri 	Stärcke, 1930: 375
767: mesonotalis	Acropyga (	Rhizomyrma) mesonotalis Weber, 1944: 111
768: moluccana	Acropyga moluccana 	Mayr, 1879: 658 
769: myops	Acropyga myops 	Forel, 1910b: 59 
770: mysolensis	Acropyga moluccana subsp. mysolensis 	Forel, 1911e: 285 
771: nipponensis	Acropyga (	Atopodon) nipponensis Terayama, 1985b: 287
772: occipitalis	Acropyga moluccana var. occipitalis 	Stitz, 1912: 510
773: oceanica	Acropyga (	Rhizomyrma) oceanica Emery, 1900c: 333
774: oko	Acropyga (	Rhizomyrma) oko Weber, 1944: 119
775: opaca	Acropyga moluccana var. opaca 	Stitz, 1911a: 370 
776: oreithauma	Acropyga oreithauma 	LaPolla, Williams & Fan, 2017: 2
777: pachycera	Rhizomyrma pachycera 	Emery, 1906c: 182 
779: palaga	Acropyga palaga 	LaPolla, 2004a: 54
780: paleartica	Acropyga (	Rhizomyrma) paleartica Menozzi, 1936d: 298
781: pallida	Bothriomyrmex pallidus 	Donisthorpe, 1938d: 598 
782: paludis	Acropyga (	Rhizomyrma) paludis Weber, 1944: 121
783: panamensis	Acropyga (	Rhizomyrma) panamensis Weber, 1944: 113
784: papuana	Acropyga (	Acropyga) moluccana subsp. papuana Mann, 1919: 364 
786: paramaribensis	Acropyga paramaribensis 	Borgmeier, 1933c: 263 
787: parvidens	Rhizomyrma parvidens 	Wheeler, W.M. & Mann, 1914: 46 
788: pickeli	Acropyga (	Rhizomyrma) pickeli Borgmeier, 1927a: 287
790: quadriceps	Acropyga (	Rhizomyrma) quadriceps Weber, 1944: 113
791: rhodesiana	Acropyga (	Malacomyrma) rhodesiana Santschi, 1928f: 211 
792: robae	Acropyga (	Rhizomyrma) robae Donisthorpe, 1936b: 108
793: romeo	Acropyga romeo 	LaPolla, 2004a: 57
794: rubens	Acropyga acutiventris subsp. rubens 	Forel, 1911e: 286 
795: rubescens	Acropyga acutiventris var. rubescens 	Forel, 1894c: 418 
796: rutgersi	Acropyga (	Rhizomyrma) rutgersi Bünzli, 1935: 464
798: sauteri	Acropyga (	Rhizomyrma) sauteri Forel, 1912a: 72 
799: septemstruma	Acropyga (	Rhizomyrma) septemstruma Terayama, Fellowes & Zhou, 2002: 24
800: silvestrii	Acropyga silvestrii 	Emery, 1915g: 21
801: silvestrii	Acropyga (	Rhizomyrma) silvestrii Wheeler, W.M. 1927h: 100
802: smithii	Acropyga (	Rhizomyrma) smithii Forel, 1893g: 349 
803: stenotes	Acropyga stenotes 	LaPolla, 2004a: 79
804: termitobia	Acropyga (	Atopodon) termitobia Forel, 1912m: 773 
805: tricuspis	Acropyga tricuspis 	LaPolla, 2004a: 59
806: tridentata	Rhizomyrma goeldii var. tridentata 	Forel, 1912i: 61 
807: trinitatis	Acropyga (	Rhizomyrma) trinitatis Weber, 1944: 117
808: undecemus	Pseudolasius undecemus 	Donisthorpe, 1949c: 756 
810: urichi	Acropyga (	Rhizomyrma) urichi Weber, 1944: 115
811: wheeleri	Acropyga (	Rhizomyrma) wheeleri Mann, 1922: 52 
812: yaeyamensis	Acropyga (	Rhizomyrma) yaeyamensis Terayama & Hashimoto, 1996: 5
813: yunnanensis	Acropyga (	Rhizomyrma) yunnanensis Terayama, Fellowes & Zhou, 2002: 27
814: yushi	Acropyga yushi 	Terayama, 2009: 205
817: biroi	Adelomyrmex biroi 	Emery, 1897c: 590
818: bispeculum	Adelomyrmex bispeculum 	Longino, 2012: 13
820: brevispinosus	Adelomyrmex brevispinosus 	Fernández, in Fernández & Mackay, 2003: 596
821: coco	Adelomyrmex coco 	Longino, 2012: 15
822: costatus	Adelomyrmex costatus 	Fernández, 2003b: 17
823: dentivagans	Adelomyrmex dentivagans 	Longino, 2012: 17
824: foveolatus	Adelomyrmex foveolatus 	Fernández, in Fernández & Mackay, 2003: 599
825: grandis	Adelomyrmex grandis 	Fernández, 2003b: 18
826: hirsutus	Adelomyrmex (	Arctomyrmex) hirsutus Mann, 1921: 458
827: laevigatus	Adelomyrmex laevigatus 	Mackay, in Fernández & Mackay, 2003: 600
829: longinoi	Adelomyrmex longinoi 	Fernández, 2003b: 21 
830: mackayi	Adelomyrmex mackayi 	Fernández, 2003b: 22 
831: marginodus	Adelomyrmex marginodus 	Longino, 2012: 20
832: metzabok	Adelomyrmex metzabok 	Longino, 2012: 22
833: micans	Adelomyrmex micans 	Fernández, in Fernández & Mackay, 2003: 601 
834: microps	Adelomyrmex microps 	Fernández, in Fernández & Mackay, 2003: 602
835: minimus	Adelomyrmex minimus 	Fernández, in Fernández & Mackay, 2003: 602 
